,sent_type,university,sent_id,aligned_to,sentence,cs_word_id,preceding_zh,first_cs_word_zh,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,eng_translation,preceding_eng,first_cs_word_eng,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,,
431,non-code-switch,CMU,5458,CMU_608,房间 另外 一 扇 门 通向 阳台 和 后院 。,7,通向,阳台,通向 阳台,conj 阳台 后院,Another door opens to a balcony and backyard.,a,balcony,a balcony,obl opens balcony,,
433,non-code-switch,CMU,83,CMU_610,本人 很 和善 ， 好 说话 ， 热心肠 。,3,很,和善,很 和善,root  和善,"I am kind, talkative and warm-hearted.",am,kind,am kind,root  kind,,
435,non-code-switch,CMU,4334,CMU_611,一 个 卫生间 ， 但是 三 个 男生 ， 问题 不 大 。,8,个,男生,个 男生,nmod:topic 男生 大,"One bathroom, but three boys, not a big deal.",three,boys,three boys,conj bathroom boys,,
437,non-code-switch,CMU,2702,CMU_614,租金 暂 定 $600 包 水 ， 价格 有 兴趣 者 可以 再 商量 。,1,</s>,租金,</s> 租金,nsubj 租金 定,"The rent is tentatively set at $600 for a bag of water, the price is negotiable.",</s>,The rent,</s> The rent,nsubj:pass rent set,,
439,non-code-switch,CMU,5541,CMU_615,卧室 $430 / month ， 水 ， 电 ， 气 ， 暖 ， 网 全 包 。,14,，,网,， 网,nsubj ， 全,"Bedroom $430 per month, water, electricity, gas, heating, Internet included.",per,month,per month,nmod $ month,,
441,non-code-switch,CMU,2818,CMU_618,交通 : 相当 之 便利 ！,1,</s>,交通,</s> 交通,dep 交通 便利,Transportation: quite convenient!,</s>,Transportation,</s> Transportation,root transportation,,
443,non-code-switch,CMU,5884,CMU_624,公寓 里 包含 了 冰箱 ， 暖气 ， 烤箱 ， 厨房 设备 等 一系列 家庭 设备 。,11,，,厨房,， 厨房,compound:nn 厨房 设备,"The apartment contains a refrigerator, a heater, an oven, kitchen equipment and a series of household appliances.",", ",kitchen,",  kitchen",compound kitchen equipment,,
445,non-code-switch,CMU,1583,CMU_626,公寓 管理 到位 ， 设施 出现 问题 ， 修复 非常 及时 。,7,出现,问题,出现 问题,dobj 出现 问题,"Apartment management in place, facilities problems, very timely repair.",facilities,problems,facilities problems,conj management problems,,
447,non-code-switch,CMU,2167,CMU_628,有意 请 联系 beeler .,3,请,联系,请 联系,ccomp 有意 联系,"If interested, please contact Beeler.",please,contact,please contact,root contact,,
449,non-code-switch,CMU,1806,CMU_629,而且 现有 家具 ， 只 需要 拎包 入住 。,2,而且,现有,而且 现有,amod 现有 家具,"And the existing furniture, only need to carry a bag check-in.",the,existing,the existing,amod existing furniture,,
451,non-code-switch,CMU,302,CMU_638,我 是 女生 ， 房间 非常 干净 。,7,非常,干净,非常 干净,conj 女生 干净,I am a girl and the room is very clean.,very,clean,very clean,conj girl clean,,
453,non-code-switch,CMU,212,CMU_644,加 一百 元 包 煤气 水 电网 。,4,元,包,元 包,compound:nn 包 电网,Add $100 package gas water grid.,$100,package,$100 package,compound package gas,,
455,non-code-switch,CMU,3604,CMU_645,一 人 $480 / 月 ， 两 人 $950 / 月 。,7,，,两,， 两,dep ， 两,"$480 / month for one person, $950 / month for two people.",for,two,for two,nummod two people,,
457,non-code-switch,CMU,2036,CMU_647,一 个 宽敞 的 客厅 ， 一 间 共享 的 厨房 。,5,的,客厅,的 客厅,root  客厅,A spacious living room and a shared kitchen.,spacious,living room,spacious living room,compound living room,,
459,non-code-switch,CMU,2508,CMU_654,房子 我 去 看 过 ， 洗手间 刚刚 装修 过 很 新 ， 现在 住 客厅 的 人 拉 了 一 个 屏风 ， 使得 整个 空间 非常 独立 。,1,</s>,房子,</s> 房子,nmod:topic 房子 看,"I went to see the house. The bathroom was newly decorated. Now the living room occupant has pulled a screen, which makes the whole space very independent.",the,house,the house,obj see house,,
461,non-code-switch,CMU,4010,CMU_655,出租 情况 ： 现有 一 客厅 可以 入住 ， 限 男生 。,4,：,现有,： 现有,amod 现有 客厅,"Rental situation: there is a living room can live in, boys only.",rental,situation,rental situation,root situation,,
463,non-code-switch,CMU,7085,CMU_656,已 找到 需要 的 家具 啦 ！,3,找到,需要,找到 需要,acl 需要 家具,We've found the furniture we need!,we,need,we need,acl:relcl furniture need,,
465,non-code-switch,CMU,7265,CMU_661,线 和 耳机 分离 的 设计 可以 降低 耳机 损坏 的 可能性 ， 延长 使用 时间 。,10,耳机,损坏,耳机 损坏,nmod:assmod 损坏 可能性,"Separate cable and earphone design can reduce the possibility of earphone damage, prolong the use of time.",earphone,damage,earphone damage,nmod possibility damage,,
467,non-code-switch,CMU,2369,CMU_662,26，300 一 个 月 包 水 电网 ， 拎包 入住 。,6,包,水,包 水,compound:nn 月 包,"One month water grid package, move-in bag.",month,water,month water,compound water package,,
469,non-code-switch,CMU,1903,CMU_668,主 卧室 有 独立 卫生间 ， 另 两 个 卧室 共用 一 个 卫生间 。,11,卧室,共用,卧室 共用,amod 共用 卫生间,"The master bedroom has its own bathroom, while the other two bedrooms share a bathroom.",bedrooms,share,bedrooms share,advcl has share,,
471,non-code-switch,CMU,6401,CMU_669,on+steamer 下面 蒸 米饭 ， 上面 蒸 点心 ！,6,，,上面,， 上面,nsubj 米饭 ，,"On +steamer steamed rice below, steamed pastry on top!",on,top,on top,nmod pastry top,,
473,non-code-switch,CMU,5944,CMU_673,公寓 内 有 洗衣机 ， 房间 内 有 空调 。,6,，,房间,， 房间,advmod:loc 房间 有,The apartment has a washing machine and the room is air-conditioned.,the,room,the room,nsubj:pass room air-conditioned,,
475,non-code-switch,CMU,4049,CMU_677,暖气 很 足 ， 可 调节 温度 ， 很 舒服 。,10,很,舒服,很 舒服,conj 足 舒服,"The heating is full, adjustable and comfortable.",and,comfortable,and comfortable,conj full comfortable,,
477,non-code-switch,CMU,37,CMU_680,这个 房子 是 匹 大 拥有 的 ， 所以 房子 管理 得很 棒 ！,2,这个,房子,这个 房子,nsubj 房子 拥有,"This house is owned by a large family, so it is well managed!",This,house,This house,nsubj:pass house owned,,
479,non-code-switch,CMU,2974,CMU_681,房租 ： 每 月 $2000 。,4,每,月,每 月,nsubj 月 $,"Rent: $2,000 per month.",per,month,per month,nmod $ month,,
481,non-code-switch,CMU,3247,CMU_683,您 一定 会 找到 家 的 感觉 ！,7,的,感觉,的 感觉,dobj 找到 感觉,You will feel at home!,will,feel,will feel,root  feel,,
483,non-code-switch,CMU,142,CMU_685,公寓 附近 社区 很 安全 ， 周围 环境 很 好 。,1,</s>,公寓,</s> 公寓,compound:nn 公寓 附近,The neighborhood near the apartment is safe and the surroundings are nice.,the,apartment,the apartment,nmod neighborhood apartment,,
485,non-code-switch,CMU,3809,CMU_686,附件 是 房间 布局 。,3,是,房间,是 房间,compound:nn 房间 布局,Attached is the room layout.,is,the room,is the room,compound room layout,,
487,non-code-switch,CMU,2179,CMU_687,房东 是 不 是 还会 请 钟点工 打扫 厨房 客厅 和 厕所 。,8,钟点工,打扫,钟点工 打扫,ccomp 请 打扫,"Does the landlord also hire hourly workers to clean the kitchen, living room and toilet?",to,clean the,to clean the,xcomp hire clean,,
489,non-code-switch,CMU,1857,CMU_688,一共 三 个 卧室 。,4,个,卧室,个 卧室,root  卧室,There are three bedrooms altogether.,three,bedrooms,three bedrooms,nsubj are bedrooms,,
491,non-code-switch,CMU,2329,CMU_692,二 楼 三 间 卧室 可以 出租 。,5,间,卧室,间 卧室,nsubj 卧室 出租,Three bedrooms on the second floor are available.,three,bedrooms,three bedrooms,nsubj bedrooms available,,
493,non-code-switch,CMU,4696,CMU_694,水 ， 电 （ 空调 ） ， 网 全 包 。,1,</s>,水,</s> 水,nmod:topic 水 包,"Water, electricity (air conditioning), network all included.",</s>,water,</s> water,nsubj Water included,,
495,non-code-switch,CMU,7568,CMU_695,有 车 ， 只要 人 来 开车 就 可以 。,2,有,车,有 车,dobj 有 车,"There is a car, as long as someone drives it.",a,car,a car,nsubj is car,,
497,non-code-switch,CMU,6077,CMU_698,以上 流程 是 师兄 办理 的 时候 的 经验 。,9,的,经验,的 经验,root  经验,The above process is the experience when the senior brother handles.,the,experience,the experience,root experience,,
499,non-code-switch,CMU,5860,CMU_699,房子 很 新 ， 不 会 有 破旧 的 感觉 。,3,很,新,很 新,dep 新 有,The house is so new that it doesn't feel shabby.,so,new,so new,root new,,
501,non-code-switch,CMU,5108,CMU_700,其他 生活 用品 也 很 齐备 ， 可以 拎包 入住 。,2,其他,生活,其他 生活,compound:nn 生活 用品,"Other daily necessities are also very complete, can carry a bag check-in.",daily,necessities,daily necessities,nsubj necessities complete,,
503,non-code-switch,CMU,803,CMU_713,因为 是 学校 的 房产 ， 物业 服务 特别 好 。,5,的,房产,的 房产,nmod:prep 房产 好,"Because it is the property of the school, the property service is very good.",the,property,the property,compound property service,,
505,non-code-switch,CMU,3563,CMU_714,房东 会 定期 雇人 打扫 房间 （ 主要 打扫 餐厅 ， 客厅 和 浴室 ） 。,8,（,主要,（ 主要,advmod （ 主要,"The landlord will regularly hire someone to clean the room (mainly the dining room, living room and bathroom).",(,mainly,( mainly,advmod mainly room,,
507,non-code-switch,CMU,1024,CMU_715,房租 是 $1437 ， 可 附带 便宜 转卖 或 赠送 部分 家具 。,8,便宜,转卖,便宜 转卖,dobj 可 便宜,"The rent is $1437, with resale or complimentary furniture.",with,resale,with resale,nmod $ resale,,
509,non-code-switch,CMU,48,CMU_718,可以 一 个 人 用 一 个 卫生间 （ 卫生间 不 在 屋内 ） 。,4,个,人,个 人,nsubj 人 用,One person can use one bathroom (the bathroom is not in the house).,one,person,one person,nsubj person use,,
511,non-code-switch,CMU,3699,CMU_720,联系 方式 kzhou .,1,</s>,联系,</s> 联系,compound:nn 联系 方式,Contact information: kzhou.,</s>,contact,</s> contact,root Contact,,
513,non-code-switch,CMU,2328,CMU_722,如果 只 租 一 个 房间 ， 是 700-800一 个 月 。,8,，,是,， 是,cop 是 800,"If you only rent a room, it is 700-800 a month.",it,is,it is,cop is 700,,
515,non-code-switch,CMU,5799,CMU_723,以下 是 房子 的 布局 和 图片 ， 请 参照 。,3,是,房子,是 房子,nmod:assmod 房子 图片,The following is the layout and pictures of the house for your reference.,the,house,the house,nmod layout house,,
517,non-code-switch,CMU,6698,CMU_726,白色 ， 配 天窗 ， 说明书 齐全 ， 两 把 钥匙 。,3,，,配,， 配,root  配,"White, with a sunroof, complete instruction manual, two keys.","White,",with,"White, with",case with sunroof,,
519,non-code-switch,CMU,3576,CMU_727,目前 一 间 房 已 出 ， 还 剩 一 间 ， 欲 租 从速 。,11,一,间,一 间,mark:clf 一 间,"At present, one room has been given out, and there is still one left. Please rent it as soon as possible.",one,left,one left,nsubj is left,,
521,non-code-switch,CMU,5561,CMU_728,联系 方式 都 木 有 啊 还有 两 个 位置 。,8,还有,两,还有 两,nummod 两 位置,There are no contact information and there are two positions.,are,two,are two,nummod two positions,,
523,non-code-switch,CMU,3707,CMU_729,公寓 周围 是 两 个 公园 ， 平时 安静 无 噪音 。,6,个,公园,个 公园,root  公园,"The apartment is surrounded by two parks, which are usually quiet and quiet.",two,parks,two parks,obl surrounded parks,,
525,non-code-switch,CMU,6927,CMU_730,非常 好 的 车 ， 没有 出 过 任何 事故 。,10,任何,事故,任何 事故,dobj 出 事故,Very good car. No accidents.,no,accidents,no accidents,root accidents,,
527,non-code-switch,CMU,7249,CMU_733,请 短信 注明 买 家具 。,4,注明,买,注明 买,ccomp 注明 买,Please note to buy furniture by text.,to,buy,to buy,xcomp note buy,,
529,non-code-switch,CMU,3379,CMU_734,橱柜 是 木头 颜色 的 ， 大理石 台面 。,3,是,木头,是 木头,compound:nn 木头 颜色,The cabinets are wood colored and the countertops are marble.,are,wood,are wood,obl:npmod wood colored,,
531,non-code-switch,CMU,6304,CMU_738,椅子 （ 可 升降 ） ： $203 .,4,可,升降,可 升降,dobj 可 升降,The chair (lift-up) : $203.,lift,up,lift up,appos chair up,,
533,non-code-switch,CMU,2268,CMU_743,可以 节约 好多 时间 去 买 家具 运 家具 装 家具 。,7,买,家具,买 家具,dobj 买 家具,"It can save a lot of time to buy furniture, transport furniture and install furniture.",buy,furniture,buy furniture,obj buy furniture,,
535,non-code-switch,CMU,4874,CMU_744,欢迎 联系 和 询问 住宿 情况 。,4,和,询问,和 询问,conj 联系 询问,Feel free to contact and enquire about accommodation.,and,enquire,and enquire,conj contact enquire,,
537,non-code-switch,CMU,2303,CMU_745,房子 周围 的 草坪 我 会 来 剪 ， 完全 不用 担心 。,4,的,草坪,的 草坪,nmod:topic 草坪 剪,"I'll mow the lawn around the house, don't worry about it at all.",the,lawn,the lawn,obj mow lawn,,
539,non-code-switch,CMU,2547,CMU_746,详情 请 在线 咨询 办理 ， 欢迎 有 诚意 办理 的 客户 咨询 !,9,有,诚意,有 诚意,dobj 有 诚意,"For details, please consult online, welcome the customer consultation with sincerity!",with,sincerity,with sincerity,obl welcome sincerity,,
541,non-code-switch,CMU,6563,CMU_747,一 个 不 带 盖子 ， 一 个 带 盖子 。,9,不,带,不 带,conj 带 带,"One without a lid, one with a lid.",one,with,one with,case with lid,,
543,non-code-switch,CMU,1577,CMU_753,匹 大 房产 ， 物业 服务 方便 而且 社区 安全 。,5,，,物业,， 物业,compound:nn 物业 服务,"Big real estate, convenient property service and community safety.",convenient,property,convenient property,compound property service,,
545,non-code-switch,CMU,5773,CMU_754,这 是 学校 附近 最 热门 的 一 处 公寓 ， 没有 之一 。,3,是,学校,是 学校,compound:nn 学校 附近,This is one of the most popular apartments near the university.,the,university,the university,nmod apartments university,,
547,non-code-switch,CMU,5706,CMU_761,我们 是 两 个 女生 。,5,个,女生,个 女生,root  女生,We are two girls.,two,girls,two girls,root girls,,
549,non-code-switch,CMU,2356,CMU_769,一 楼 两 个 卧室 的 家具 齐全 。,5,个,卧室,个 卧室,nmod:assmod 卧室 家具,The two bedrooms on the first floor are fully furnished.,two,bedrooms,two bedrooms,nsubj:pass bedrooms furnished,,
551,non-code-switch,CMU,2058,CMU_770,已经 补充 了 其中 一 个 房子 的 链接 。,7,个,房子,个 房子,nmod:assmod 房子 链接,A link to one of the houses has been added.,the,houses,the houses,nmod one houses,,
553,non-code-switch,CMU,3802,CMU_772,房间 出租 ， 地理 位置 相当 好 ， 性价比 非常 高 ！,9,，,性价比,， 性价比,nsubj 性价比 高,"Rooms for rent, the location is very good, the price is very high!",the ,price,the  price,nsubj price high,,
555,non-code-switch,CMU,1711,CMU_773,一 楼 物业 管理 办公室 。,3,楼,物业,楼 物业,nsubj 物业 管理,Property management office on the first floor.,</s>,property,</s> property,compound Property management,,
557,non-code-switch,CMU,2888,CMU_775,房子 在 匹兹堡 最 好 的 社区 。,1,</s>,房子,</s> 房子,nsubj 房子 在,It's in the best neighborhood in Pittsburgh.,best,neighborhood,best neighborhood,root neighborhood,,
559,non-code-switch,CMU,3690,CMU_777,床 和 桌子 便宜 卖 ， 可 随时 拎包 入住 。,1,</s>,床,</s> 床,conj 床 桌子,"Bed and table are cheap, carry bag at any time.",</s>,Bed,</s> Bed,nsubj Bed cheap,,
561,non-code-switch,CMU,5006,CMU_780,厨房 有 门窗 ， 可以 隔离 油烟 。,7,隔离,油烟,隔离 油烟,dobj 隔离 油烟,The kitchen has doors and Windows to isolate the lampblack.,the,lampblack,the lampblack,obj isolate lampblack,,
563,non-code-switch,CMU,2936,CMU_790,三 到 五 分钟 可以 步行 到 松鼠 山 的 所有 餐厅 !,9,松鼠,山,松鼠 山,dobj 步行 山,Three to five minute walk to all the restaurants in Squirrel Hill!,squirrel,hill,squirrel hill,nmod restaurants Hill,,
565,non-code-switch,CMU,7537,CMU_791,美国 寄宿 家庭 服务 中心 作为 基于 美国 本土 的 教育 资源 服务 公司 ， 为 国际 高中生 提供 学校 申请 服务 ， 监护人 承担 ， 以及 寄宿 生活 管理 。,12,教育,资源,教育 资源,compound:nn 资源 服务,"American Homestay Services is a US-based educational resource service company that provides international high school students with school application services, guardian support, and homestay management.",educational,resource,educational resource,compound resource service,,
567,non-code-switch,CMU,5530,CMU_792,客厅 对面 是 教堂 ， 没有 住户 ， 隐私 较好 。,1,</s>,客厅,</s> 客厅,compound:nn 客厅 对面,"The living room is opposite the church, no occupants, privacy is better.",</s>,The living room,</s> The living room,compound living room,,
569,non-code-switch,CMU,1968,CMU_797,毗邻 医院 ， 门口 随时 有 警察 叔叔 巡逻 ， 安全 有 保障 。,2,毗邻,医院,毗邻 医院,dobj 毗邻 医院,"Adjacent to the hospital, there are police patrols at the gate at any time, security is guaranteed.",to,the hospital,to the hospital,obl Adjacent hospital,,
571,non-code-switch,CMU,318,CMU_799,下面 是 我 房间 的 照片 啦 ， 有点 乱 ， 不过 走 的 时候 会 收拾 的 。,10,有点,乱,有点 乱,root  乱,"Below is a picture of my room. It's a little messy, but I'll tidy it up before I leave.",little,messy,little messy,root messy,,
573,non-code-switch,CMU,4661,CMU_802,请 告知 时间 地点 ， 联系 方式 。,3,告知,时间,告知 时间,compound:nn 时间 地点,"Please tell us the time, place and contact information.",the,time,the time,obj tell time,,
575,non-code-switch,CMU,5637,CMU_803,合同 和 公司 签订 ， 手续 简单 ， 国内 的 同学 可以 传真 合同 给 公司 。,1,</s>,合同,</s> 合同,nsubj 合同 签订,"The contract and the company sign, the procedure is simple, the domestic classmate can fax the contract to the company.",</s>,The contract,</s> The contract,nsubj contract fax,,
577,non-code-switch,CMU,6971,CMU_806,价格 在 附件 里面 都 有 ， 公道 合理 。,1,</s>,价格,</s> 价格,nsubj 价格 有,The prices are listed in the attachment. They are reasonable.,</s>,The price,</s> The price,nsubj:pass prices listed,,
579,non-code-switch,CMU,2056,CMU_811,房子 是 租房 市场 上 少见 的 好 房子 。,1,</s>,房子,</s> 房子,nsubj 房子 房子,The house is one of the few good houses in the rental market.,The,house,The house,nsubj house one,,
581,non-code-switch,CMU,4517,CMU_812,公寓 为 高层 ， 视野 超级 好 ！,7,超级,好,超级 好,root  好,"Apartment for the high-rise, the view is super good!",super,good,super good,root  good,,
583,non-code-switch,CMU,5963,CMU_814,本 毕业 服 工程 硕士 橙色 领 尺寸 175-180 。,7,橙色,领,橙色 领,acl 领 尺寸,The size of the orange collar for the Master of Engineering is 175-180.,the,collar,the collar,nmod size collar,,
585,non-code-switch,CMU,3767,CMU_815,隔壁 两 间 卧室 住 有 两 男生 ， 暖气 充足 ， 卧室 内 有 空调 。,4,间,卧室,间 卧室,nsubj 卧室 有,"There are two boys in the two bedrooms next door, which are well heated and air-conditioned.",two,bedrooms,two bedrooms,nmod boys bedrooms,,
587,non-code-switch,CMU,2934,CMU_816,宽敞 主人 房 ， 阳光 充足 ， 家具 齐全 。,3,主人,房,主人 房,nmod:topic 房 充足,"Spacious master room, sunny, fully furnished.",master,room,master room,root room,,
589,non-code-switch,CMU,6410,CMU_829,另 送 白色 桌子 。,4,白色,桌子,白色 桌子,dobj 送 桌子,A white table is also included.,white,table,white table,nsubj:pass table included,,
591,non-code-switch,CMU,6742,CMU_834,这个 车 当时 买 的 时候 是 三 手 了 。,2,这个,车,这个 车,nsubj 车 买,It was a three-handed car when I bought it.,three-handed,car,three-handed car,root car,,
593,non-code-switch,CMU,6322,CMU_840,面值 20，17 出 。,1,</s>,面值,</s> 面值,nsubj 面值 20,The bill is 20 and 17 in value.,in,value,in value,nmod 20 value,,
595,non-code-switch,CMU,5943,CMU_843,房子 本身 布局 很 合理 ， 客厅 可以 住 一 个 人 ， 如果 你 需要 住 房间 ， 我 同学 也 不 介意 。,12,个,人,个 人,dobj 住 人,"The layout of the house itself is very reasonable, the living room can live a person, if you need a room, my classmates do not mind.",a,person,a person,obj live person,,
597,non-code-switch,CMU,5609,CMU_844,如果 想 进一步 了解 房子 的 情况 ， 我们 可以 提供 一些 照片 。,13,一些,照片,一些 照片,dobj 提供 照片,"If you want to know more about the house, we can provide some photos.",some,photos,some photos,obj provide photos,,
599,non-code-switch,CMU,1289,CMU_846,要求 爱 干净 安静 的 女孩 纸 。,6,的,女孩,的 女孩,compound:nn 女孩 纸,Request love clean and quiet girl paper.,quiet,girl,quiet girl,compound girl paper,,
601,non-code-switch,CMU,4549,CMU_853,家 后面 就 是 山 ， 经常 可以 看见 小鹿 ， 环境 特别 好 ， 空气 质量 匹 村 最佳 。,17,空气,质量,空气 质量,compound:nn 质量 村,"Home is behind the mountain, often can see the deer, the environment is particularly good, the air quality of the best village.",air,quality,air quality,appos good quality,,
603,non-code-switch,CMU,4907,CMU_857,我 觉得 有些 不 对于 是 想 与 他 电话 联系 。,10,他,电话,他 电话,nmod:prep 电话 联系,I think there's something wrong with trying to get in touch with him on the phone.,on,the phone,on the phone,obl get phone,,
605,non-code-switch,CMU,2285,CMU_858,阳光 明媚 大 卧室 : （ 有 床 ， 桌子 ， 椅子 。,3,明媚,大,明媚 大,amod 大 卧室,"Big sunny bedroom with bed, desk and chair.",</s>,big,</s> big,amod Big bedroom,,
607,non-code-switch,CMU,4178,CMU_862,如果 租 一 间 卧室 多少 钱 ？,5,间,卧室,间 卧室,compound:nn 卧室 钱,How much is it to rent a bedroom?,a,bedroom,a bedroom,obj rent bedroom,,
609,non-code-switch,CMU,1679,CMU_864,户型 入 附件 图片 所 示 ：,4,附件,图片,附件 图片,dobj 入 图片,The house type is shown in the picture attached:,the,picture,the picture,obl shown picture,,
611,non-code-switch,CMU,4789,CMU_867,暖气 开 多 大 都没 关系 。,3,开,多,开 多,advmod 多 大,It doesn't matter how high the heat is turned up.,how,high,how high,advmod high turned,,
613,non-code-switch,CMU,5068,CMU_868,部分 家具 可 送 ， 包括 客厅 的 饭桌 、 房间 里 的 写字 桌 、 椅子 等 。,11,、,房间,、 房间,nmod 房间 桌,"Some furniture can be sent, including the dining table in the living room, the desk in the room, chairs and so on.",in,the room,in the room,nmod table room,,
615,non-code-switch,CMU,4941,CMU_873,下载 速度 2mb/s 。,1,</s>,下载,</s> 下载,root  下载,The download speed is 2MB /s.,The,download,The download,compound download speed,,
617,non-code-switch,CMU,3702,CMU_880,舒适 ： 房间 里 有 床 、 桌子 、 椅子 ， 柜子 及 空调 等等 所有 需要 的 家具 ， 大 厨房 大 烤箱 ， 微波炉 等 设备 齐全 。,3,：,房间,： 房间,advmod:loc 房间 有,"Comfortable: the room has a bed, a table, a chair, a cabinet and an air conditioner and all the necessary furniture, a big kitchen, a big oven, a microwave oven and other well-equipped.",: ,The room,:  The room,nsubj room has,,
619,non-code-switch,CMU,6144,CMU_882,部分 家具 已 出 ， 链接 内容 已 更新 。,6,，,链接,， 链接,compound:nn 链接 内容,"Some furniture has been shipped, and the link content has been updated.",the,link,the link,compound link content,,
621,non-code-switch,CMU,5712,CMU_890,现在 急 求 学校 附近 的 房间 。,7,的,房间,的 房间,dobj 求 房间,A room near the school is urgently needed.,</s>,A room,</s> A room,nsubj:pass room needed,,
623,non-code-switch,CMU,2273,CMU_891,祝 同学 找 房 顺利 ！,2,祝,同学,祝 同学,dobj 祝 同学,I wish the students to find a room smoothly!,the,students,the students,nsubj students find,,
625,non-code-switch,CMU,3430,CMU_892,现有 一 个 大 房间 出租 ， 带 家具 ， 有 中央 空调 ， 网络 。,5,大,房间,大 房间,compound:nn 房间 出租,There is a large furnished room available for rent. It has central air conditioning and Internet access.,furnished,room,furnished room,nsubj is room,,
627,non-code-switch,CMU,17,CMU_893,一 楼 客厅 餐厅 家具 齐全 。,1,</s>,一,</s> 一,nummod 一 餐厅,The living room and dining room on the first floor are fully furnished.,the,first,the first,amod first floor,,
629,non-code-switch,CMU,309,CMU_894,有 兴趣 的 同学 可以 联系 我 看 房 ， 或者 图片 .,12,或者,图片,或者 图片,dobj 看 图片,"Interested students can contact me to see the room, or pictures.",or,pictures,or pictures,conj room pictures,,
631,non-code-switch,CMU,7101,CMU_895,可否 更新 一下 图片 和 尺寸 ？,4,一下,图片,一下 图片,conj 图片 尺寸,Could you please update the picture and size?,update,the picture,update the picture,obj update picture,,
633,non-code-switch,CMU,3550,CMU_897,房间 如下 : 1 .,1,</s>,房间,</s> 房间,nsubj 房间 如下,The rooms are as follows: 1.,</s>,The rooms,</s> The rooms,nsubj rooms are,,
635,non-code-switch,CMU,5831,CMU_900,室内 有 全套 家具 ， 生活 用品 供 免费 使用 ， 可 拎包 入住 。,3,有,全套,有 全套,compound:nn 全套 家具,"The room has a full set of furniture, daily necessities for free use, can carry a bag check-in.",a,full set of,a full set of,amod full set,,
637,non-code-switch,CMU,2409,CMU_902,客厅 内 有 空调 ， 要 用电 ；,1,</s>,客厅,</s> 客厅,advmod:loc 客厅 有,"There is air conditioning in the living room, which needs electricity.",in,the living room,in the living room,compound living room,,
639,non-code-switch,CMU,1636,CMU_906,这 是 公寓 图片 的 链接 ， 环境 舒适 。,3,是,公寓,是 公寓,compound:nn 公寓 图片,"This is a link to a picture of the apartment, which is in a comfortable environment.",the,apartment,the apartment,nmod picture apartment,,
641,non-code-switch,CMU,2353,CMU_909,卧室 ： 4-5 个 卧室 。,5,</s>,卧室,</s> 卧室,root  5,Bedrooms: 4-5 bedrooms.,</s>,Bedrooms,</s> Bedrooms,root bedrooms,,
643,non-code-switch,CMU,3956,CMU_911,客厅 现在 有 一 个 帘子 ， 完全 挡住 ， 外面 看 不 见 里面 的 。,8,，,完全,， 完全,advmod 完全 挡住,"There was a curtain in the drawing-room, which was completely closed off, so that the outside could not see the inside.",was,completely,was completely,advmod completely closed,,
645,non-code-switch,CMU,1543,CMU_912,长 租 优先 ， 女生 优先 ~~~ 非常 感谢 ！,1,</s>,长,</s> 长,advmod 长 优先,"Long term rental priority, girls priority ~~~ Thank you very much!",</s>,long,</s> long,amod Long term,,
647,non-code-switch,CMU,2355,CMU_914,一 楼 有 一 个 卫生间 ， 二 楼 有 一 个 卫生间 。,6,个,卫生间,个 卫生间,dobj 有 卫生间,There is a bathroom on the first floor and a bathroom on the second floor.,a,bathroom,a bathroom,nsubj is bathroom,,
649,non-code-switch,CMU,425,CMU_915,床 ， 桌子 ， 凳子 ， 啥 都 有 ！,1,</s>,床,</s> 床,nmod:topic 床 有,"Bed, table, stools, everything!",</s>,Bed,</s> Bed,root bed,,
651,non-code-switch,CMU,7047,CMU_916,天窗 ， 尾翼 ， 高速 行驶 表现 稳定 。,3,，,尾翼,， 尾翼,nsubj 尾翼 行驶,"Sunroof, tail, stable performance at high speed.",", ",tail,",  tail",amod tail performance,,
653,non-code-switch,CMU,3993,CMU_917,见面 协商 也可 ！,2,见面,协商,见面 协商,compound:nn 协商 也,Meet and negotiate can also!,and,negotiate,and negotiate,conj Meet negotiate,,
655,non-code-switch,CMU,3554,CMU_924,社区 ： 安静 安全 。,1,</s>,社区,</s> 社区,dep 社区 安静,Community: Quiet and safe.,</s>,community,</s> community,root Community,,
657,non-code-switch,CMU,5777,CMU_926,走路 五 分钟 的 范围 内 ， 有 超市 ， 餐厅 ， 生活 非常 方便 。,9,有,超市,有 超市,dobj 有 超市,"Within a five-minute walk, there are supermarkets and restaurants. Life is very convenient.",are,supermarkets,are supermarkets,nsubj are supermarkets,,
659,non-code-switch,CMU,1933,CMU_930,卧室 比较 小 ， 但是 很 舒服 ， 家具 全 。,3,比较,小,比较 小,root  小,The bedroom is small but comfortable and fully furnished.,is,small,is small,root small,,
661,non-code-switch,CMU,1758,CMU_931,公寓 为 两 个 卧室 一 个 客厅 ， 一 个 餐厅 一 个 厨房 。,8,个,客厅,个 客厅,root  客厅,"The apartment has two bedrooms, a living room, a dining room and a kitchen.",a,living room,a living room,compound living room,,
663,non-code-switch,CMU,5199,CMU_939,绝对 是 附近 性价比 最高 的 房子 了 。,7,的,房子,的 房子,dobj 性价比 房子,Definitely the best value for money in the neighborhood.,the,neighborhood,the neighborhood,nmod value neighborhood,,
