,file,type,conversation,speaker,filtered_transcript_2015,length_of_turn,direction_of_code_switches,first_cs_word,first_cs_word_eng_pos,word_length_eng,english_translation,english_wbw_translation,first_cs_word_zh,word_length_zh,first_cs_word_zh_pos,first_cs_word_eng_raw_freq,first_cs_word_zh_raw_freq,first_cs_word_eng_freq,first_cs_word_zh_freq,chinese_translation,chinese_wbw_translation,cs word en cv surprisal,cs word en wbw cv surprisal,cs word zh cv surprisal,cs word zh wbw cv surprisal
406,01NC02FBY_0101,Conversation,1,2,"['她', '有', '来', 'then', '就', '会', '讲话', 'then', 'then', 'oh', 'th-', 'ok', '我', '印象', '最', '深', '的', '为什么', '我', '会', '比', '我', '会', 'quite', '不', '喜欢', '她', '因为', '那', '时候']",30,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"when she comes, she will speak, then oh th-ok, why would i be more impressed why i would quite more than i didn't like her because of that time because i did not like her","she is here then just speak then then oh th- ok why am i most impressed, why would i be better than me quite i don't like her because of that time",然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后就有会会会讲话会会oh oh oh,她 有 来 然后 就 会 讲话 然后 哦 ， 好 吧 我 印象 最深 的 为什么 我会 比 我会 相当 不 喜欢 她 因为 那 时候,12.029346085637547,13.233500838390553,11.333302491915799,17.248209064839248
415,01NC02FBY_0101,Conversation,1,2,"['我', '的', 'lab', 'or', 'rather', '我', '上去', '我', '的', 'lab', 'to', '开', '电脑', '做', '昨天', '的', '东西', '因为', '昨天']",19,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",lab,0,3,"my lab or rather, i went to my lab to open the computer to do yesterday’s things because of yesterday",mine lab or rather i go to me lab to open the computer to do yesterday's things because of yesterday,实验室,3,0,1962798,1195,17.46874143359647,24.42191640124141,我实验室或实验室或实验室到开开电脑昨天的因为,我 的 实验室 或 更 确切 地 说 我 上去 我 的 实验室 到 开 电脑 做 昨天 的 东西 因为 昨天,14.137632001132904,13.963528753101428,20.339557812153956,17.650078319539816
421,01NC02FBY_0101,Conversation,1,2,"['那个', 'module', '不', '需要', '去', '虽然', '等', '下', '我', '也', '是', '没有', '什么', '打算', '要', '去', '它', '是', 'on', 'networks', '它', '是', '那种', '嗯']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",module,0,6,"that module does not need to go, although i have no intention to go to it as on networks. it is the kind of","that module i don’t need to go, although i have no intention to go to it. on networks it's the kind of um",模块,2,0,2570416,252877,17.079651273821455,16.696635004592874,那个模块不不需要虽然等下我也是没有什么打算打算去去去它,那个 模块 不 需要 去 虽然 等 下 我 也 是 没有 什么 打算 要 去 它 是 在 网络 上 它 是 那种 嗯,17.01553358063872,17.01553358063872,20.32745436714023,20.32745436714023
422,01NC02FBY_0101,Conversation,1,2,"['可是', 'i', 'think', '他']",4,"['man > eng', 'eng > man']",i,2,1,but i think him,but i think he,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为他,可是 我 认为 他,17.470024169519164,17.470024169519164,8.264815918135724,16.301222704323184
427,01NC01FBX_0101,Conversation,1,1,"['她', '的', 'prof', 'finally', 'came', 'come', 'back', 'from', '那个', '不', '懂', '什么', '国家']",13,"['man > eng', 'eng > man']",prof,0,4,her prof final came come back from that country does not understand any country,her prof finally came come back from that country that doesn't understand,教授,2,0,377161,2374957,19.84840073184484,13.465241341951597,她教授终于从那个那个什么什么国家国家国家国家国家国家国家国家,她 的 教授 终于 回来 了 那个 不 懂 什么 国家,17.588001449230656,17.588001449230656,18.604464939272862,15.36655006686925
431,01NC01FBX_0101,Conversation,1,1,"['你', 'i', 'thought', '你', '之前', '有', 'run', '过', '了']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,"you i think, you have been run before",you i thought you have before run pass,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,你我以为你你有,你 我 想 你 之前 有 跑步 过 了,16.8770576792321,16.8770576792321,17.449542821850134,17.449542821850134
432,01NC02FBY_0101,Conversation,1,2,"['欢迎', '回来', 'then']",3,['man > eng'],then,2,4,welcome back then,welcome back then,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后,欢迎 回来 然后,9.196951599103595,9.196951599103595,11.333302491915799,17.466272716121605
437,01NC02FBY_0101,Conversation,1,2,"['那', 'actually', '你', '给', '我', '这个', '的', '故事', '我', '还', '觉得', '挺', '好笑', '的', '我', '那天']",16,"['man > eng', 'eng > man']",actually,2,8,"then actually you give me this story, i still feel funny. i",that actually i still feel funny that you give me this story,实际上,3,2,32871581,1715,13.40288419887134,23.900718443049342,那实际上是你你我这个故事我还挺好笑的我,那 实际上 你 给 我 这个 的 故事 我 还 觉得 挺 好笑 的 我 那天,13.168818247683763,13.7549535250365,19.397897498952425,19.397897498952425
438,01NC01FBX_0101,Conversation,1,1,"['那个', 'multiplication', 'is', 'addition']",4,['man > eng'],multiplication,0,14,that multiplication is addition,that multiplication is addition,乘法,2,0,2382486,9743,17.189185403502886,21.39456095363708,那个乘法是添加,那个 乘法 是 添加 的,18.00857083375578,18.00857083375578,22.76707769563989,22.76707769563989
453,01NC02FBY_0101,Conversation,1,2,"['我', 'roomie', '就', 'message', '我', '讲', 'we', 'are', 'meeting', 'at', 'the', 'bus', 'stop']",13,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",roomie,0,6,i roomie is message.,i roomie at once message i am talking about we are meeting at the bus stop,室友,2,0,8626,0,25.29874570866643,34.64471130410952,我室友就消息我讲我们在公交车站开会,我 室友 就 信息 我 讲 我们 正在 公交车站 开会,18.411594790662132,18.411594790662132,24.630613914888233,24.630613914888233
459,01NC02FBY_0101,Conversation,1,2,"['跟', '他', '讲', 'august', 'then', 'after', 'that', '他', '读', '到', '完', '的', '时候', '他', '讲']",15,"['man > eng', 'eng > man']",august,0,6,tell him august then after that he said when he finished reading,tell him august then after that he said when he finished reading,八月,2,0,27269343,3778,13.67244510335426,22.76130431772115,跟跟讲八月之后,跟 他 讲 八月 在 那 之后 他读 到 完 的 时候 他 讲,17.921173230928957,17.921173230928957,14.95569366790077,14.95569366790077
463,01NC02FBY_0101,Conversation,1,2,"['他', '就', '讲', 'twelve', '还是', '讲', 'sixteen']",7,"['man > eng', 'eng > man', 'man > eng']",twelve,2,6,he talks about twelve or sixteen,he talks twelve still speak sixteen,十二,2,2,15457847,11733,14.491385653399238,21.12642698265542,十二还还是是是十六,他 就 讲 十二 还是 讲 十六,15.354123398251895,15.473946341212908,14.159246790667908,14.58171166736397
470,01NC02FBY_0101,Conversation,1,2,"['我', '就', '觉得', '可能', 'i', ""won't"", 'get', 'that']",8,['man > eng'],i,2,1,i feel like i get that,i think it is possible i get that,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我明白了,我 就 觉得 可能 我 明白 了,15.301368854755417,15.301368854755417,8.264815918135724,8.264815918135724
478,01NC02FBY_0101,Conversation,1,2,"['后来', '我', '就', '觉得', '你', '讲', '了', '等于', '白讲', '你', '这样', '讲', '的话', 'multiplication', 'is', 'a', 'form', 'of', 'addition', 'what', '因为', '是', '三', '加', '三', '加', 'then', '我', '就', 'dot', 'dot', 'dot', 'dot', 'dot', 'dot', '我', '就', '讲', '了', 'for', 'you', 'information', '我', '就', '用', '会', '他', 'same', 'line', 'addition', 'is', 'also', 'a', 'multiplication', 'is', 'also', 'form', 'of', 'addition']",59,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",multiplication,0,14,"later, i felt that you said it is equivalent to saying that you said that multiplication is a form of addition what, because i dot dot dot dot dot dot dot dot dotaddition is all a multiplication is also form of addition","later, i felt that you said what you said like this multiplication is a form of addition what because it is a three plus and three plus then so i dot dot dot dot dot dot i just talked for you information i just use him same line addition is also a multiplication is also form of addition",乘法,2,0,2382486,9743,17.189185403502886,21.39456095363708,后来我就你你了等于白讲讲这样这样这样的话的话的话的话的话的话繁殖是一种加法形式，然后是and因为因为是三加三三三三加三三三加加三三三加我我我我我我我我我我我我我的话的话的话的话的话的话的话的话的话的话的话的话的话的话的话的话的话的话的话讲讲讲的话的话的话讲讲讲讲讲的话的话这样这样这样讲讲讲讲的话的话的话的话的话的话的话的话的话的话的话的话的话的话的话的话添加也是乘法也是加法的形式,后来 我 就 觉得 你 讲 了 等于 白讲 你 这样 讲 的话 乘法 是 一种 加法 形式 因为 是 三加 三加 然后 我 就 点点 点点 点点 我 就 讲 了 为 您 提供 信息 我 就 用会 他 同一 行 添加 也 是 乘法 也 是 加法 的 形式,18.437796166317746,17.655542891255905,20.045072208470287,19.126486007815842
480,01NC02FBY_0101,Conversation,1,2,"['我', '他', '就', 'refuse', 'to', 'admit', 'that', '他', '真的', '是', '不', '懂', '我', '就', '讲', 'you', '明', '你', '明明', '讲', 'ya', '你', '根本', '就']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",refuse,1,6,i will refuse to admit that he really doesn't understand. i said you said you clearly. you clearly talk about ya.,i will refuse to admit that he really doesn't understand me and said you you can say clearly ya you just,拒绝,2,1,6840835,1629444,15.66748070724107,14.008762963752485,我他拒绝承认他他是不我就就就明讲讲讲,我 他 就 拒绝 承认 他 真的 是 不 懂 我 就 讲 你 明 你 明明 讲 是 的 你 根本 就,17.909258471431027,17.909258471431027,12.489234807672183,11.465074742426934
483,01NC01FBX_0101,Conversation,1,1,"['搞', '笑', '那', '两个', 'relationship', '真的', '是', '太', '奇怪', '了']",10,"['man > eng', 'eng > man']",relationship,0,12,the funny two relationship is really strange,funny relationship it's really strange,关系,2,0,37511762,32374222,13.212382014422506,9.696369116758357,关系关系真的真的真的是太了了了,搞笑 那 两个 关系 真的 是 太 奇怪 了,16.658094117628842,16.180415806260463,14.253776905307262,11.818740162928211
489,01NC02FBY_0101,Conversation,1,2,"['那些', 'alphabets', 'with']",3,['man > eng'],alphabets,0,9,those alphabets with,those ones alphabets with,字母,2,0,160753,282834,21.078735573337884,16.535115270052348,那些带有字母,那些 字母 与,17.379759742746455,17.173453059377522,13.786222169808054,17.82773835598249
492,01NC02FBY_0101,Conversation,1,2,"['我', 'pause', '了']",3,"['man > eng', 'eng > man']",pause,0,5,i have pause,i pause be,暂停,2,1,4887334,129204,16.1526054384637,17.665420094851132,我暂停了,我 暂停 了,16.603107902838214,16.975978054041658,23.080867023482952,23.080867023482952
495,01NC02FBY_0101,Conversation,1,2,"['对', 'then', '就', 'by', 'substituting', '这些', 'alphabets']",7,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",then,2,4,"for then is by substituting, these alphabets",right then at once by substituting these alphabets,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,对然后就用代替这些字母,对 然后 就 通过 替换 这些 字母,13.316253389162293,12.815752767396422,22.05413777904912,22.05413777904912
498,01NC02FBY_0101,Conversation,1,2,"['他', '就', '讲', '拜', '五', 'we', 'will', 'talk', 'about', 'it', 'then', 'we', 'are', 'suppose', 'to', 'write', 'like']",17,['man > eng'],we,2,2,he said to worship we will talk about it then we are support to write like,he said worship we will talk about it then we are suppose to write like,我们,2,2,600896170,73177380,9.210681223869788,8.519816876703524,我们将谈论它，然后我们应该像写,他 就 讲 拜 五 我们 将 谈论 它 ， 然后 我们 应该 像,9.867617987530071,9.867617987530071,8.990885755521543,12.22327559711774
500,01NC02FBY_0101,Conversation,1,2,"['因为', 'zero', 'plus', 'zero']",4,['man > eng'],zero,2,4,because zero plus zero,because zero plus zero,零,1,2,13204197,1248935,14.71872847706895,14.392444339999484,因为零加零,因为 零加 零,16.491482814029762,16.491482814029762,14.78103532568464,14.78103532568464
501,01NC02FBY_0101,Conversation,1,2,"['一定', '是', 'zero', 'then', '这个', '不是', 'zero']",7,"['man > eng', 'eng > man', 'man > eng']",zero,2,4,"it must be zero then, this is not zero",definitely is zero then not this one zero,零,1,2,13204197,1248935,14.71872847706895,14.392444339999484,一定是零，然后这个这个是,一定 是 然后 零 这个 不是 零,15.151563185388376,15.758765134140457,13.249898872045346,15.07220132662309
502,01NC02FBY_0101,Conversation,1,2,"['四个', 'digit']",2,['man > eng'],digit,0,5,four digit,four digit,数字,2,0,1717328,2205421,17.66148752777172,13.572088651956443,四数字,四个 数字,17.96699889680512,17.96699889680512,19.27146491566101,19.322972739543477
505,01NC02FBY_0101,Conversation,1,2,"['我', '都', '其实', '没有', '想', 'i', 'mean', 'i', 'think', '可能', '到', '最后', '我', '会']",14,"['man > eng', 'eng > man']",i,2,1,"i didn't actually think i mean i think, i might be in the end i will",i didn't actually think i mean i think maybe i will be in the end,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我的意思是我认为可能可能可能到最后会,我 都 其实 没有 想 我 的 意思 是 我 认为 可能 到 最后 我会,15.301368854755417,15.301368854755417,8.264815918135724,8.264815918135724
510,01NC02FBY_0101,Conversation,1,2,"['可是', 'you', ""don't"", 'have', 'to', 'come', 'out-', 'i', ""don't"", 'think', 'exam', '会', '叫', '我们', 'come', 'out', 'with', 'a', 'number', 'example', 'but']",21,"['man > eng', 'eng > man', 'man > eng']",you,2,3,but you have to come out of-i think exam will call us for out with with a number example but,but you have to come out- i think exam will call us come out with a number example but,你,1,2,950006304,25465651,8.549859863469642,10.042662041356165,可是你必须出来 - 我认为考试会叫我们我们我们提出了一个示例,可是 你 必须 出去   -   我 认为 考试 会 叫 我们 提出 一个 示例 ， 但是,9.39603807175829,9.39603807175829,16.748611343129568,16.748611343129568
512,01NC02FBY_0101,Conversation,1,2,"['什么', '什么', '对', 'then', '那', '时候', '我们', '就', '换', '换', '换', '换', '换', '换', '到', '很', 'excited', '我', '就', 'at', 'that', 'moment', '我', '就', '觉得', '我', '真的', '没有', 'take', '错', 'module', '就', '我', '真的', '很', '喜欢']",36,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"what is right, then we will change, change, change to very excited, i just feel that i really do","what right then at that time, we would change to change and change to very much excited so i at that moment i think i really don't take wrong module i really like it",然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后，那一刻很很换很很很很很很很很很很很我我我我我我我我我我就我我我就就我我,什么 什么 对 然后 那 时候 我们 就 换换 换换 换换 到 很 兴奋 的 我 就 那一刻 我 就 觉得 我 真的 没有 拿错 模块 就 我 真的 很 喜欢,12.320597792320845,12.815752767396422,11.333302491915799,17.02551364921419
513,01NC02FBY_0101,Conversation,1,2,"['一', '七', '二', '八', '八', 'so', 'ya', 'this', 'can', 'work']",10,['man > eng'],so,2,2,1 seven eight 8 eight so ya this can work,178 so ya this can work,所以,2,2,495581448,13406620,9.48867476883514,10.96826908079729,一一七八八八八，所以这可以工作,一 七 二八 八 所以 你 可以 起 作用,10.233382202345739,9.89217899509243,9.455488625715631,15.094668522907241
526,01NC02FBY_0101,Conversation,1,2,"['我', '就', '可以', '从', '这', '两个', '号码', '然后', '猜', '到', '第', '三个', 'then', '我们', '就', '讲']",16,"['man > eng', 'eng > man']",then,2,4,i can talk from these two numbers and then guess the third that third.,i can guess the third number from these two numbers and then guess the third one then we just talk,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,我就这个号码然后猜第三三三,我 就 可以 从 这 两个 号码 然后 猜 到 第三个 然后 我们 就 讲,8.476568238230605,8.476568238230605,17.522643510542178,17.522643510542178
530,01NC01FBX_0101,Conversation,1,1,"['雁博', 'computing']",2,['man > eng'],computing,1,9,yanbo computing,geese computing,计算,2,1,2709641,4099747,17.00355141832353,12.67760785264181,雁博计算,雁博 计算,16.882201352694224,17.173453059377522,12.67687026199099,12.67687026199099
531,01NC01FBX_0101,Conversation,1,1,"['他', '读', 'com', 'engine', '的', 'i', ""didn't"", 'know']",8,"['man > eng', 'eng > man', 'man > eng']",com,0,3,he reads com engine's i know,he read com engine of i know,com,3,0,3882019,28862,16.484845960938447,19.82782764932876,他他com发动机的我知道,他读 com 发动机 的 我 知道,17.752825555514686,17.771966505197426,21.22348467603039,18.45937208929404
532,01NC02FBY_0101,Conversation,1,2,"['可是', '雁博', '也', '是', 'com', 'engine']",6,['man > eng'],com,0,3,but yanbo is also com engine,but yanbo is also com engine,com,3,0,3882019,28862,16.484845960938447,19.82782764932876,可是雁博雁博是com发动机,可是 雁博 也 是 com 发动机,17.485671115231703,17.485671115231703,19.927546710979694,20.462294086054186
538,01NC01FBX_0101,Conversation,1,1,"['只有', 'exam', 'half', 'a', 'sem']",5,['man > eng'],exam,0,4,only exam half a sem,only exam half a sem,考试,2,0,1754929,1366355,17.630240476167963,14.262810368140752,只考试半SEM,只有 考试 半 SEM,16.460416142486373,16.460416142486373,20.626895623155857,20.15264288403893
539,01NC02FBY_0101,Conversation,1,2,"['我', '不', '懂', 'i', ""don't"", 'think-', 'i', ""don't"", 'know', 'how', 'it', 'works']",12,['man > eng'],i,2,1,i don’t understand i think-i know how it works,i don't understand i think- i know how it works,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为 - 我知道它是如何工作的,我 不 懂 我 认为   -   我 知道 它 是 如何 工作 的,15.301368854755417,15.301368854755417,8.264815918135724,8.264815918135724
540,01NC01FBX_0101,Conversation,1,1,"['所以', '他', 'graduating', 'this', 'sem']",5,['man > eng'],graduating,1,10,so he graduating this sem,so he graduating this sem,毕业,2,1,908786,2854440,18.579640624908212,13.19993499741712,所以他毕业,所以 他 毕业 该 SEM,17.83044572737982,17.83044572737982,12.484270850519993,12.484270850519993
541,01NC01FBX_0101,Conversation,1,1,"['一大堆', 'job', 'offer']",3,['man > eng'],job,0,3,a lot of job offer,a lot job offer,工作,2,0,35395114,66589060,13.296174823143147,8.655929465306967,一一堆工作机会,一大堆 工作 机会,16.546537128346333,17.435124989532703,11.357306744329454,11.08296032972104
544,01NC01FBX_0101,Conversation,1,1,"['我们', '可不可以', '去', 'facebook']",4,['man > eng'],facebook,0,8,can we go to facebook,can we go facebook,Facebook,8,0,67077,0,22.339691163637166,34.64471130410952,Facebook,我们 可不可以 去 Facebook,18.764267286855848,17.86392744064819,23.064688237082425,18.98880537599514
551,01NC01FBX_0101,Conversation,1,1,"['就', 'earn', 'more', 'money', 'for', '他', '的', 'future']",8,"['man > eng', 'eng > man', 'man > eng']",earn,1,4,earn more money for him,at once earn more money for his future,赚,1,1,4366475,120259,16.315184059938268,17.768925962542298,就为未来赚更多的钱,就 赚 更 多 的 钱 他 的 未来,21.09219809140673,16.107588844443438,15.234856213861153,20.929120322722184
553,01NC02FBY_0101,Conversation,1,2,"['可是', '我', '真的', '很', '不', 'believe', 'in-']",7,['man > eng'],believe,1,7,but i really do not be believe in-,but i really don't believe in-,相信,2,1,54230075,2256291,12.680631879592804,13.539189586737118,可是可是不不相信 - ,可是 我 真的 很 不 相信 -,13.854228681766587,5.790639554557094,9.230698070041127,9.324505333127032
561,01NC02FBY_0101,Conversation,1,2,"['我', '的', 'friend', '就', 'message', '我', '讲', 'do', 'you', 'know', 'joanna']",11,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",friend,0,6,my friend is message. i talk about do you know joanna,mine friend at once message i am talking about do you know joanna,朋友,2,0,41772931,3462542,13.057156671360376,12.921311163890891,我我朋友就消息我讲讲你知道乔安娜吗,我 的 朋友 就 信息 我 讲 你 知道 乔 安娜 吗,11.142730785353919,13.19150369464375,14.752810895819238,11.808240544798702
566,01NC02FBY_0101,Conversation,1,2,"['她', 'boyfriend', '是', '哪', '一个']",5,"['man > eng', 'eng > man']",boyfriend,0,9,which one is she boyfriend,she boyfriend which one is,男朋友,3,0,1179872,0,18.203022784711404,34.64471130410952,她男朋友是是哪一个,她 男朋友 是 哪 一个,15.913440750094601,18.032308003150604,24.93260408633106,24.93260408633106
569,01NC01FBX_0101,Conversation,1,1,"['不', '知道', 'i', 'think', '她', 'boyfriend', '是', '以前', 'n.p.', '的', '他', '是', '瑞宝', '的', '前辈', '前辈', '就']",17,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,"i don’t know if i thinkfriend is the former n.p., he is the senior of ruibao",have no idea i think she boyfriend before n.p. he is ruibao's predecessors,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,不不我认为她男友是是是以前的的是瑞宝前辈前辈前辈,不 知道 我 认为 她 男朋友 是 以前 N . P . 的 他 是 瑞宝 的 前辈 前辈 就,15.301368854755417,16.096013918189612,12.296347052842547,7.962462992144933
574,01NC01FBX_0101,Conversation,1,1,"['我', '很', '没有', 'like', '注意', '她', '的', '东西']",8,"['man > eng', 'eng > man']",like,2,4,i don't have like to pay attention to her stuff,i don't have like pay attention to her,喜欢,2,1,280419611,2496210,10.310209703296197,13.393403425098672,喜欢注意很注意注意她的东西,我 很 没有 喜欢 注意 她 的 东西,11.669861311499645,11.669861311499645,12.117094816263997,13.957411754707502
577,01NC01FBX_0101,Conversation,1,1,"['他', 'graduate', 'in', 'two', 'o.', 'o.', 'six']",7,['man > eng'],graduate,0,8,his graduate in two o. o. six,he graduate in two o. o. six,毕业,2,1,5881255,2854440,15.885529095715343,13.19993499741712,他毕业两分。o。六,他 两分钟 毕业 。 o 。 六,17.248893382026797,17.66244253590899,6.707217649678177,11.641143907504963
593,01NC02FBY_0101,Conversation,1,2,"['因为', '他', '的', 'i', 'think', 'alan', '是', '他', '自己', '取', '的', 'so', ""it's"", 'not', 'in', 'the']",16,"['man > eng', 'eng > man', 'man > eng']",i,2,1,because his i think alan is the so not in the it by himself,because of his i think alan he took it by himself so not in the,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为Alan是是他自己取取取取,因为 他 的 我 想 艾伦 是 他 自己 取 的 所以 不 在,15.556545086713855,15.678372148894518,8.264815918135724,16.397210813203383
594,01NC02FBY_0101,Conversation,1,2,"['对', 'then', '他', '的', 'email', '名字', '是', 'tan']",8,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",then,2,4,the email name of then is tan,right then his email name is tan,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,对然后他他电子邮件名字tan,对 然后 他 的 电子邮件 名字 是 棕 褐色,13.314666504111365,12.815752767396422,22.05413777904912,22.05413777904912
597,01NC01FBX_0101,Conversation,1,1,"['对', '对', '对', 'damn', 'cool', 'right']",6,['man > eng'],damn,2,4,daming to damn cool right,yeah damn cool right,该死,2,2,3534610,1728,16.620102099612254,23.88982380194605,对对对该死的很酷,对 对 对 该死 的 很酷,17.412972379839136,15.889164099577165,17.97963019619312,17.97963019619312
598,01NC02FBY_0101,Conversation,1,2,"['我', '懂', '而且', 'i', 'think', '我', '讲话', '比较', '大声', '因为', '那个']",11,"['man > eng', 'eng > man']",i,2,1,"i understand and i think, i speak more loudly because of that",i know and i think i speak more loudly because of that,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为我懂讲话比较大声因为,我 懂 而且 我 认为 我 讲话 比较 大声 因为 那个,15.301368854755417,15.301368854755417,8.264815918135724,8.264815918135724
600,01NC01FBX_0101,Conversation,1,1,"['我', '要', 'start', 'on', '我', '的', 'four', 'thousand', 'one', 'of', 'the', 'essays', 'no', 'choice']",14,"['man > eng', 'eng > man', 'man > eng']",start,1,5,i want start on my four thousand one of the essays no choice,i want start on mine four thousand one of the essays no choice,开始,2,1,28561280,15768676,13.605664408669996,10.734153109029094,我要开始我我我我我我,我要 开始 我 的 四千 一篇 论文 别无选择,14.959180363629164,14.959180363629164,15.324207110407766,15.324207110407766
605,01NC02FBY_0101,Conversation,1,2,"['那个', 'hong-kong', '警察', '戏']",4,"['man > eng', 'eng > man']",hong-kong,0,9,that hong-kong police scene,that hong-kong police drama,香港,2,0,0,5677921,38.37322170940093,12.2077799585834,那个香港警察警察,那个 香港 警察 戏,18.00857083375578,18.00857083375578,16.048462178475347,16.048462178475347
609,01NC02FBY_0101,Conversation,1,2,"['那', '时候', '刚刚', 'school', 'start', 'what', '就', '超', 'excited', '就', '整天', '去', '看', '戏']",14,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",school,0,6,"at that time, just school start what was super excited to watch the show all day",just now school start what super excited just watch the show all day,学校,2,0,84469404,9782171,12.04129617350694,11.422988050451526,那那刚刚刚刚学校开始什么就就超超就就整,那 时候 刚刚 学校 开始 什么 就 超 兴奋 的 就 整天 去 看戏,13.273519441764044,13.401880404314538,11.35681576335703,11.35681576335703
610,01NC02FBY_0101,Conversation,1,2,"['对', '我', '就', '真的', '找', '不到', '时间', '去', '我', '就', '觉得', 'weekends', '我', '就', '想', '在', '家里', 'rest', '一下']",19,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",weekends,0,8,i really don’t find time to me. i think weekends i want to rest at home,"i really can't find time to me, i think i think weekends i just want to be at home rest one time",周末,2,0,1373554,128382,17.983739510332228,17.67462788835836,周末我我不到到找找不不到我我我我我我就想想在在家家家,对 我 就 真的 找 不到 时间 去 我 就 觉得 周末 我 就 想 在 家里 休息 一下,17.824459612952836,17.824459612952836,20.001890465164845,15.891552565877388
613,01NC02FBY_0101,Conversation,1,2,"['感动', 'if', 'not', '那个', '东西', '不要', 'stun']",7,"['man > eng', 'eng > man', 'man > eng']",if,2,2,"stun the thing if you do not not, do not stun",move if not don't want that thing stun,如果,2,2,411367074,18679385,9.75737062575837,10.48976768335448,感动如果不是那个那个东西不要,感动 如果 不 那个 东西 不要 昏迷,10.981350189733053,10.681546843555088,15.646703211787527,15.646703211787527
616,01NC02FBY_0101,Conversation,1,2,"['我', '就', '讲', 'oh', 'ok', 'then', '我', '就', '先', '下来']",10,"['man > eng', 'eng > man']",oh,2,2,"i will talk about oh ok then, i will come down first",i just talk oh ok then i will come down first,哦,1,2,29769308,85892,13.545899359272552,18.25447515987622,我我哦，好的，然后我我就先先,我 就 讲 哦 ， 那 没关系 我 就 先 下来,17.90572061800997,17.353871957102996,18.179261465055372,17.85218774676086
619,01NC02FBY_0101,Conversation,1,2,"['呃', '发生', '了', '什么', '事情', '是不是', '因为', '刚才', '我', 'install', '东西', 'install', '到', '一般', 'then', '我', 'reboot', '掉', ""that's"", 'the', 'reason', 'then']",22,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",install,1,7,"well, what happened was because i was install just now.","uh, what happened? is it because of me just now install thing install to ordinary then i reboot lose the reason then",安装,2,1,2125346,1059462,17.353955413249924,14.629810891666777,呃发生发生什么事情是不不是因为刚才刚才刚才刚才我安装东西安装到我然后重新启动掉,呃 发生 了 什么 事情 是不是 因为 刚才 我 安装 东西 安装 到 一般 然后 我 重启 掉 那 是 原因,16.281917983585366,16.219879979834918,14.612064456559766,14.612064456559766
629,01NC02FBY_0101,Conversation,1,2,"['他', '就', '讲', 'then', '现在', '怎么办', 'then', '我', '就']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"he just talked about then what to do now, i just",he talks then what should we do now then so i,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后现在现在怎么怎么怎么怎么我我,他 就 讲 然后 现在 怎么办 然后 我 就,13.155044537223933,13.442869675077352,11.333302491915799,16.89807119978193
632,01NC02FBY_0101,Conversation,1,2,"['啧', 'try', 'something']",3,['man > eng'],try,1,3,t try something,stun try something,尝试,2,1,32279438,888232,13.42910958434542,14.884134282000096,啧尝试一些东西,啧 尝试 一些 东西,12.029346085637547,12.029346085637547,13.813780885283238,13.813780885283238
