,sent_type,university,sent_id,aligned_to,sentence,eng_translation,cs_word_id,preceding_zh,first_cs_word_zh,,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,zh_deprel,preceding_eng,first_cs_word_eng,,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,eng_deprel,word_freq_zh,non_log_word_freq_zh,neg_base_e_word_freq_zh,base_e_word_freq_zh,word_freq_eng,non_log_word_freq_eng,neg_base_e_word_freq_eng,base_e_word_freq_eng,cs_word_length_zh,cs_word_length_eng,cs_word_dep_dist,cs_word_pos_zh,cs_word_pos_eng,sentence_length_zh,dep_prob_eng,dep_prob_zh,gt_ngram_surp_eng,ngram_surp_eng,base_2_ngram_prob_eng,raw_ngram_prob_eng,base_10_ngram_prob_eng,base_10_ngram_surp_eng,ngram_surp_zh,base_2_ngram_prob_zh,raw_ngram_prob_zh,base_10_ngram_prob_zh,base_10_ngram_surp_zh,retrained_ngram_surp_zh,dep_surp_eng,dep_surp_zh,llm_surp_zh,llm_surp_eng
299,non-code-switch,CMU,328,CMU_421,有 专人 负责 开门 和 接受 快递 包裹 。,There are people who open doors and accept express packages.,6,和,接受,6.7665,和 接受,conj 开门 接受,conj,and,accept,4.4602823,and accept,conj open accept,conj,51.17612103896780,0.00000000000000,-35.47258401015500,35.47258401015500,14.12978635,0.00005578,-9.79402157,9.79402157,2,6,2,VV,VB,9,-3.596607,-5.733492,15.9666713258871,14.8167371,-14.8167371,0.0000347,-4.4602823,4.4602823,12.4049259,-12.4049259,0.0001844,-3.7342548,3.7342548,6.7665,3.596607,5.733492,24.4450521469116,8.92833805084229
301,non-code-switch,CMU,951,CMU_423,图片 如下 ： 卧室 ：,The picture is as follows:,1,<s>,图片,7.0570436,<s> 图片,nsubj 图片 如下,nsubj,<s>,The picture,3.469161,<s> The picture,nsubj picture is,nsubj,55.363512302835700,0.000000000000000,-38.375062458606400,38.375062458606400,4.39029524,0.04768584,-3.04312077,3.04312077,2,11,1,NN,DT,5,-4.1758733,-4.5750093,11.5243033915875,11.524303,-11.524303,0.000339,-3.469161,3.469161,18.38315,-18.38315,0.00000,-5.53388,5.53388,7.0570436,4.1758733,4.5750093,17.3534965515137,0.0
303,non-code-switch,CMU,7256,CMU_425,好 东西 。,A good thing.,2,好,东西,7.5484495,好 东西,root  东西,root,good,thing,7.6745872,good thing,root thing,root,51.052410505576500,0.000000000000000,-35.386834402729300,35.386834402729300,12.26409524,0.00020330,-8.50082304,8.50082304,2,5,0,NN,NN,3,-4.00895,-4.7962403,10.1441678370438,25.4944268,-25.4944268,0.0000000,-7.6745872,7.6745872,7.8303479,-7.8303479,0.0043937,-2.3571696,2.3571696,7.5484495,4.00895,4.7962403,17.4730801582336,4.81291675567627
305,non-code-switch,CMU,5968,CMU_428,全新 塑料 食品 保鲜 盒 。,New plastic food crisper.,2,全新,塑料,7.1670523,全新 塑料,compound:nn 塑料 食品,compound:nn,New,plastic,4.3503995,New plastic,amod plastic food,amod,55.44243975039440,0.00000000000000,-38.42977079635050,38.42977079635050,15.5727017,0.0000205,-10.7941743,10.7941743,2,7,1,NN,NN,6,-3.928211,-4.9317694,14.4517143230339,14.4517143,-14.4517143,0.0000446,-4.3503995,4.3503995,15.7328923,-15.7328923,0.0000184,-4.7360725,4.7360725,7.1670523,3.928211,4.9317694,16.621374130249,14.8980751037598
307,non-code-switch,CMU,6222,CMU_432,想要 大 一 点 的 书桌 ， 结构 简单 的 好 求 椅子 ， 舒服 一点 的 ；,"Want a big desk, simple structure, good chair, a little more comfortable;",1,<s>,想要,7.3514414,<s> 想要,root  想要,root,<s>,Want,6.0680285,<s> Want,root want,root,64.784957133333600,0.000000000000000,-44.905510379667100,44.905510379667100,11.92985987,0.00025630,-8.26914873,8.26914873,2,4,0,VV,VB,18,-3.4419641,-5.209229,4.68533674489489,20.1575544,-20.1575544,0.0000009,-6.0680285,6.0680285,17.1012440,-17.1012440,0.0000071,-5.1479874,5.1479874,7.3514414,3.4419641,5.209229,16.2288408279419,0.0
309,non-code-switch,CMU,5719,CMU_436,房间 有 照片 ， 回头 我 可以 给 发 邮件 看 照片 。,There are photos in the room. I can email them later.,9,给,发,6.8863854,给 发,compound:nn 发 邮件,compound:nn,can,email,6.1870685,can email,root email,root,50.39184903344860,0.00000000000000,-34.92896808073730,34.92896808073730,18.2410044,0.0000032,-12.6437008,12.6437008,1,5,1,NN,NN,13,-6.1919107,-4.4010787,14.92685966423,20.5529967,-20.5529967,0.0000007,-6.1870685,6.1870685,13.676793,-13.676793,0.000076,-4.117125,4.117125,6.8863854,6.1919107,4.4010787,22.1469821929932,13.3473510742188
311,non-code-switch,CMU,7246,CMU_437,白色 陶瓷 盘子 ， 有 大 有 小 。,"White ceramic plates, big and small.",2,白色,陶瓷,7.1807833,白色 陶瓷,compound:nn 陶瓷 盘子,compound:nn,White,ceramic,3.3920162,White ceramic,amod ceramic plates,amod,56.04080014081050,0.00000000000000,-38.84452261392620,38.84452261392620,18.0238465,0.0000038,-12.4931784,12.4931784,2,7,1,NN,NNP,9,-4.3617373,-4.9112587,11.6176794684067,11.2680339,-11.2680339,0.0004055,-3.3920162,3.3920162,11.3657986,-11.3657986,0.0003789,-3.4214463,3.4214463,7.1807833,4.3617373,4.9112587,15.8197830915451,17.31911277771
313,non-code-switch,CMU,5293,CMU_440,看看 还 有 没 有 人 要 租 ～ 还 有 人 要 租 吗 ？,Let's see if anyone still wants to rent it.,12,有,人,5.860838,有 人,nsubj 人 租,nsubj,if,anyone,2.071745,if anyone,nsubj anyone wants,nsubj,46.815349009261900,0.000000000000008,-32.449927172699700,32.449927172699700,14.10264200,0.00005684,-9.77520654,9.77520654,1,6,2,NN,NN,16,-3.8365154,-1.683593,6.88218792094242,6.882188,-6.882188,0.008477,-2.071745,2.071745,12.4212383,-12.4212383,0.0001823,-3.7391653,3.7391653,5.860838,3.8365154,1.683593,46.7917404174805,6.18742370605469
315,non-code-switch,CMU,1666,CMU_441,客厅 完全 隔离 ， 所有 遮光 布 屏风 窗帘 配备 齐全 。,The living room is completely segregated and all shading cloth screen curtains are fully equipped.,6,所有,遮光,7.1807833,所有 遮光,compound:nn 遮光 布,compound:nn,all,shading,6.266668,all shading,amod shading curtains,amod,65.48191893241720,0.00000000000000,-45.38860748565990,45.38860748565990,18.7555856,0.0000023,-13.0003813,13.0003813,2,7,1,NN,VBG,12,-6.841606,-5.9510283,20.8174204905316,20.817420,-20.817420,0.000001,-6.266668,6.266668,22.803223,-22.803223,0.000000,-6.864454,6.864454,7.1807833,6.841606,5.9510283,25.7090158462524,19.7002410888672
317,non-code-switch,CMU,4518,CMU_444,下面 是 公寓 的 房型 和 相关 图片 ， 非 骗子 链接 。,"Below is the apartment type and related pictures, not cheat links.",3,是,公寓,7.39772,是 公寓,nmod:assmod 公寓 房型,nmod:assmod,the,apartment,4.6920133,the apartment,compound apartment type,compound,56.337067538045000,0.000000000000000,-39.049879525011100,39.049879525011100,15.4251678,0.0000227,-10.6919116,10.6919116,2,9,2,NN,NN,13,-4.0798454,-4.4210234,28.7706246046905,15.5865308,-15.5865308,0.0000203,-4.6920133,4.6920133,16.3975530,-16.3975530,0.0000116,-4.9361553,4.9361553,7.39772,4.0798454,4.4210234,24.4448709487915,13.9549751281738
319,non-code-switch,CMU,1912,CMU_446,站在 门口 拍 这 间 屋子 ， 就是 这么 大 ！,Stand in the doorway and photograph the room. That's how big it is!,2,在,门口,7.198451,在 门口,dobj 站 在,dobj,in,the doorway,0.64427114,in the doorway,obl Stand doorway,obl,56.84760125699810,0.00000000000000,-39.40375453288420,39.40375453288420,4.39029524,0.04768584,-3.04312077,3.04312077,2,11,1,NN,DT,11,-4.098105,-3.156942,1.43191830119531,2.14022240,-2.14022240,0.22684482,-0.64427114,0.64427114,16.6708357,-16.6708357,0.0000096,-5.0184216,5.0184216,7.198451,4.098105,3.156942,27.3565602302551,2.04379224777222
321,non-code-switch,CMU,4994,CMU_452,简易 户型 图 ：,Simple house layout:,1,<s>,简易,7.3514414,<s> 简易,amod 简易 户型,amod,<s>,Simple,5.903373,<s> Simple,amod Simple layout,amod,56.53241668987440,0.00000000000000,-39.18528523882640,39.18528523882640,13.00413178,0.00012172,-9.01377728,9.01377728,2,6,1,JJ,JJ,4,-3.2056754,-3.7244303,19.6105806232995,19.610581,-19.610581,0.000001,-5.903373,5.903373,19.5937305,-19.5937305,0.0000013,-5.8983006,5.8983006,7.3514414,3.2056754,3.7244303,18.0982580184937,0.0
323,non-code-switch,CMU,4454,CMU_453,希望 去 学校 和 超市 方便 点 。,I hope it's easier to get to school and the supermarket.,2,希望,去,6.3468947,希望 去,conj 去 方便,conj,to,go to,2.9313195,to go to,xcomp Hope go,xcomp,50.11093905994350,0.00000000000000,-34.73425612461110,34.73425612461110,11.37094792,0.00037758,-7.88174049,7.88174049,1,5,4,VV,VB,8,-4.04688,-4.061553,9.73763260214118,9.7376326,-9.7376326,0.0011713,-2.9313195,2.9313195,10.9602154,-10.9602154,0.0005019,-3.2993536,3.2993536,6.3468947,4.04688,4.061553,21.3542060852051,1.04241847991943
325,non-code-switch,CMU,1591,CMU_456,附近 大学 老师 和 学生 居多 。,Teachers and students from nearby universities are in the majority.,3,大学,老师,7.1807833,大学 老师,conj 老师 学生,conj,<s>,Teachers,6.0182986,<s> Teachers,nsubj Teachers majority,nsubj,53.33410317880870,0.00000000000000,-36.96838324608450,36.96838324608450,13.99966798,0.00006105,-9.70383039,9.70383039,2,8,2,NN,NNS,7,-4.431389,-4.4189982,15.6552787691645,19.9923552,-19.9923552,0.0000010,-6.0182986,6.0182986,18.6059193,-18.6059193,0.0000025,-5.6009398,5.6009398,7.1807833,4.431389,4.4189982,21.7647395133972,0.0
327,non-code-switch,CMU,1384,CMU_461,入口 有 监控 ， 安全 。,"The entrance is monitored, secure.",3,有,监控,7.2971773,有 监控,dobj 有 监控,dobj,is,monitored,8.252295,is monitored,root monitored,root,55.25371833264320,0.00000000000000,-38.29895907772500,38.29895907772500,17.8247620,0.0000043,-12.3551835,12.3551835,2,9,1,NN,VBN,6,-4.2068067,-2.4776647,17.6242370408897,27.413531,-27.413531,0.000000,-8.252295,8.252295,17.4596232,-17.4596232,0.0000055,-5.2558703,5.2558703,7.2971773,4.2068067,2.4776647,22.8803586959839,13.3443565368652
329,non-code-switch,CMU,3355,CMU_464,我 住到 十二月 底 ， 同学 住 到 二月 底 。,I will stay until the end of December and my classmates until the end of February.,6,，,同学,7.239988,， 同学,nsubj ， 同学,nsubj,my,classmates,4.2082496,my classmates,conj end classmates,conj,54.59583569607150,0.00000000000000,-37.84294958304600,37.84294958304600,18.3337925,0.0000030,-12.7080166,12.7080166,2,10,1,NN,NNS,11,-3.3957393,-5.2021356,13.9795025765385,13.9795026,-13.9795026,0.0000619,-4.2082496,4.2082496,17.426838,-17.426838,0.000006,-5.246001,5.246001,7.239988,3.3957393,5.2021356,22.4786429405212,14.9945650100708
331,non-code-switch,CMU,3185,CMU_465,水电 暖 全 包 ， 网 费 另 算 ， 家具 全 。,"Water, electricity and heating are all included, net fee is calculated separately, apartment is fully furnished.",6,，,网,7.2327523,， 网,compound:nn 网 费,compound:nn,"included,",net,4.5843525,"included, net",compound net fee,compound,53.39381289205370,0.00000000000000,-37.00977086547230,37.00977086547230,14.5652838,0.0000412,-10.0958854,10.0958854,1,3,1,NN,NNP,13,-3.8519933,-4.1160526,13.6563656752292,15.2288894,-15.2288894,0.0000260,-4.5843525,4.5843525,18.6469976,-18.6469976,0.0000024,-5.6133056,5.6133056,7.2327523,3.8519933,4.1160526,26.94384765625,14.1269025802612
333,non-code-switch,CMU,2814,CMU_470,公寓 有 封闭 的 车库 配套 。,The apartment has an enclosed garage.,6,车库,配套,7.1670523,车库 配套,dobj 有 配套,dobj,an,enclosed,3.9092605,an enclosed,amod enclosed garage,amod,53.150924553248400,0.000000000000000,-36.841413498238500,36.841413498238500,16.5614476,0.0000103,-11.4795207,11.4795207,2,8,4,NN,VBN,7,-4.228446,-2.4776647,11.9700061518858,12.9862823,-12.9862823,0.0001232,-3.9092605,3.9092605,18.397157,-18.397157,0.000003,-5.538096,5.538096,7.1670523,4.228446,2.4776647,17.7001495361328,8.02673053741455
335,non-code-switch,CMU,824,CMU_479,二 层 三 个 卧室 公用 一 个 卫生间 （ 装修 好的 地下室 还 有 一 个 带 浴室 的 备用 卫生间 ） 。,The three bedrooms on the second floor share one bathroom (there is also a spare bathroom with bath in the finished basement).,6,卧室,公用,7.1598167,卧室 公用,amod 公用 卫生间,amod,floor,share,5.7097316,floor share,root share,root,55.06329869115730,0.00000000000000,-38.16697024010580,38.16697024010580,13.68798673,0.00007577,-9.48778941,9.48778941,2,5,3,JJ,NN,24,-3.4568233,-4.4471145,2.03424279580279,18.9673178,-18.9673178,0.0000020,-5.7097316,5.7097316,19.493562,-19.493562,0.000001,-5.868147,5.868147,7.1598167,3.4568233,4.4471145,24.2738008499146,11.4856452941895
337,non-code-switch,CMU,5099,CMU_484,吃饭 的 时候 也 看 着 这样 的 窗外 ， 舒心 ！,"When having a meal you can also look out of such a window, and be comfortable!",5,也,看,6.7014213,也 看,root  看,root,also,looked,3.4047408,also looked,root  looked,root,48.781728124523700,0.000000000000002,-33.812917312355400,33.812917312355400,12.41345896,0.00018331,-8.60435408,8.60435408,1,6,0,VV,VBD,12,-3.5797842,-3.4816618,15.9104055043943,11.3103041,-11.3103041,0.0003938,-3.4047408,3.4047408,13.4206383,-13.4206383,0.0000912,-4.0400147,4.0400147,6.7014213,3.5797842,3.4816618,21.5335502624512,7.94037008285523
339,non-code-switch,CMU,7288,CMU_486,能 帮 上 忙 的 同学 联系 下 我 ， 万分 感激 ！,"If you can help the students to contact me, I will be very grateful!",3,帮,上,5.642432,帮 上,det 上 忙,det,to,contact,4.046175,to contact,xcomp help contact,xcomp,47.04141081957760,0.00000000000001,-32.60662127915230,32.60662127915230,13.89705506,0.00006555,-9.63270453,9.63270453,1,7,1,DT,NN,13,-2.584216,-3.388414,17.0565992557477,13.441102,-13.441102,0.000090,-4.046175,4.046175,4.9830154,-4.9830154,0.0316201,-1.5000371,1.5000371,5.642432,2.584216,3.388414,30.6258068084717,12.4002513885498
341,non-code-switch,CMU,7508,CMU_488,销售 兼职 要求 能 完成 销售 指标 ， 了解 产品 ， 回答 客户 疑问 ， 独立 处理 复杂 问题 及 团队 合作 精神 。,"Sales part-time job requires the ability to meet sales targets, understand products, answer customer questions, deal with complex problems independently and work as a team player.",20,问题,及,4.1924424,问题 及,cc 及 精神,cc,independently,and,1.509337,independently and,cc and work,cc,49.14132506481930,0.00000000000000,-34.06217091765930,34.06217091765930,5.44569765,0.02294466,-3.77466997,3.77466997,1,3,3,CC,CC,24,-0.081345186,-0.7857999,15.8145914645463,5.013909,-5.013909,0.030950,-1.509337,1.509337,9.553055,-9.553055,0.001331,-2.875756,2.875756,4.1924424,0.081345186,0.7857999,11.6439762115479,2.50685477256775
343,non-code-switch,CMU,3598,CMU_489,客厅 有 两 间 卧室 那么 大 ， 具体 看 怎么 改造 。,"The sitting room has two big bedrooms, see how to transform specifically.",1,<s>,客厅,7.3514414,<s> 客厅,nsubj 客厅 有,nsubj,<s>,The sitting room,3.469161,<s> The sitting room,compound sitting room,compound,57.1623695603126,0.0000000000000,-39.6219352948563,39.6219352948563,4.39029524,0.04768584,-3.04312077,3.04312077,2,16,1,NN,DT,13,-4.4978247,-5.7720046,15.4816180019552,11.524303,-11.524303,0.000339,-3.469161,3.469161,20.807986,-20.807986,0.000001,-6.263828,6.263828,7.3514414,4.4978247,5.7720046,16.5337882041931,0.0
345,non-code-switch,CMU,2451,CMU_493,已经 联系 过 房产 中介 ， 需要 三 个 人 一起 提交 申请 。,"I have contacted the real estate agent, and three people need to submit the application together.",10,个,人,5.7335825,个 人,dobj 需要 人,dobj,three,people,2.8848157,three people,nsubj people need,nsubj,46.815349009261900,0.000000000000008,-32.449927172699700,32.449927172699700,10.65502736,0.00062018,-7.38550217,7.38550217,1,6,3,NN,NNS,14,-2.6707532,-3.672291,9.58315032240215,9.5831503,-9.5831503,0.0013037,-2.8848157,2.8848157,11.7395826,-11.7395826,0.0002924,-3.5339665,3.5339665,5.7335825,2.6707532,3.672291,19.9740543365479,5.0351676940918
347,non-code-switch,CMU,4554,CMU_494,设施 ： 两 个 房间 已经 有 床 。,Amenities: Two rooms already have beds.,5,个,房间,7.1875896,个 房间,nsubj 房间 有,nsubj,: ,Two rooms,3.3256536,:  Two rooms,nsubj rooms have,nsubj,54.54528099341460,0.00000000000000,-37.80790773343530,37.80790773343530,9.98087694,0.00098959,-6.91821671,6.91821671,2,9,2,NN,CD,9,-4.242034,-4.479004,9.77719344382319,11.0475821,-11.0475821,0.0004724,-3.3256536,3.3256536,9.099107,-9.099107,0.001823,-2.739104,2.739104,7.1875896,4.242034,4.479004,32.2371139526367,10.6459846496582
349,non-code-switch,CMU,1562,CMU_496,五月 可以 入住 。,Available in May.,1,<s>,五月,5.1263256,<s> 五月,nmod:tmod 五月 入住,nmod:tmod,in,May,8.185874,in May,obl Available May,obl,61.2288717099026,0.0000000000000,-42.4406197945856,42.4406197945856,12.73294177,0.00014689,-8.82580269,8.82580269,2,3,2,NT,MD,4,-5.1405196,-9.16554,15.4384438990844,27.192885,-27.192885,0.000000,-8.185874,8.185874,14.2489598,-14.2489598,0.0000514,-4.2893643,4.2893643,5.1263256,5.1405196,9.16554,17.1455488204956,15.4161281585693
351,non-code-switch,CMU,4726,CMU_500,如有 意向 可以 发 邮件 或 电话 联系 ， 可以 提供 更 详细 的 情况 。,"If you are interested, you can contact us by email or phone and provide more details.",15,的,情况,7.21781,的 情况,dobj 可以 的,dobj,the,intention,3.6285007,the intention,obj have intention,obj,49.114997700249000,0.000000000000002,-34.043922179135800,34.043922179135800,15.1614801,0.0000273,-10.5091372,10.5091372,2,9,4,NN,NN,16,-4.601869,-4.9033184,27.0446637121422,12.0536184,-12.0536184,0.0002352,-3.6285007,3.6285007,10.101764,-10.101764,0.000910,-3.040934,3.040934,7.21781,4.601869,4.9033184,31.9051551818848,4.7475905418396
353,non-code-switch,CMU,2928,CMU_502,户型 ： 一 室 一 厅 ， 带 浴室 厨房 。,"House type: one bedroom, one living room with bathroom and kitchen.",1,<s>,户型,7.3514414,<s> 户型,dep 户型 带,dep,<s>,House type,5.313124,<s> House type,root type,root,61.75682645640620,0.00000000000000,-42.80657013858780,42.80657013858780,11.97831148,0.00024784,-8.30273283,8.30273283,2,10,7,NN,NNP,11,-3.8559403,-7.0380616,27.4008541301884,17.649816,-17.649816,0.000005,-5.313124,5.313124,23.3386726,-23.3386726,0.0000001,-7.0256405,7.0256405,7.3514414,3.8559403,7.0380616,16.550717830658,0.0
355,non-code-switch,CMU,5042,CMU_510,房间 里 有 家具 ： 床 ， 桌子 椅子 ， 灯 ， 衣架 .,"There is furniture in the room: bed, table, chair, lamp, clothes hanger.",8,，,桌子,7.2327523,， 桌子,compound:nn 桌子 椅子,compound:nn,", ",table,6.7056246,",  table",conj bed table,conj,56.15368393962000,0.00000000000000,-38.92276770080190,38.92276770080190,12.9039225,0.0001305,-8.9443175,8.9443175,2,5,1,NN,NN,14,-4.5178213,-5.2311616,15.1132988922418,22.2756028,-22.2756028,0.0000002,-6.7056246,6.7056246,18.5111772,-18.5111772,0.0000027,-5.5724196,5.5724196,7.2327523,4.5178213,5.2311616,31.2162132263184,4.08080434799194
357,non-code-switch,CMU,2993,CMU_515,家里 有所 有 家具 ( 床 ， 桌子 椅子 ， 客厅 沙发 等等 等等 ) 还有 厨具 ， 不 需要 带 。,"The home has furniture (bed, table, chair, living room, sofa, etc.) and kitchen utensils, you do not need to bring these.",11,，,客厅,7.239988,， 客厅,compound:nn 客厅 沙发,compound:nn,", ",living room,3.87844,",  living room",compound living room,compound,57.1623695603126,0.0000000000000,-39.6219352948563,39.6219352948563,12.78389436,0.00014180,-8.86112033,8.86112033,2,11,1,NN,NN,22,-3.344462,-5.412979,12.8838988003349,12.88390,-12.88390,0.00013,-3.87844,3.87844,19.8911191,-19.8911191,0.0000010,-5.9878235,5.9878235,7.239988,3.344462,5.412979,31.2898120880127,8.44966983795166
359,non-code-switch,CMU,1244,CMU_516,这 部分 费用 不 在 租金 内 ， 需要 平分 。,This part of the cost is not included in the rent and will have to be shared equally.,1,<s>,这,7.0391965,<s> 这,det 这 费用,det,<s>,this,4.6803675,<s> this,det This part,det,46.50899818787030,0.00000000000001,-32.23758096458990,32.23758096458990,8.44109086,0.00287726,-5.85091833,5.85091833,1,4,2,DT,DT,11,-1.9346128,-0.96827644,15.5478442926477,15.5478443,-15.5478443,0.0000209,-4.6803675,4.6803675,9.9507323,-9.9507323,0.0010105,-2.9954689,2.9954689,7.0391965,1.9346128,0.96827644,10.277494430542,0.0
361,non-code-switch,CMU,2681,CMU_519,父母 过来 参加 毕业 典礼 。,My parents came over for the graduation ceremony.,1,<s>,父母,6.1316357,<s> 父母,nsubj 父母 参加,nsubj,My,parents,2.6197758,My parents,nsubj parents came,nsubj,52.83250367151370,0.00000000000000,-36.62070096183270,36.62070096183270,13.28892115,0.00009992,-9.21117823,9.21117823,2,7,2,NN,NNS,6,-3.3438084,-3.357869,19.5121837843577,8.7027068,-8.7027068,0.0024001,-2.6197758,2.6197758,15.271073,-15.271073,0.000025,-4.597051,4.597051,6.1316357,3.3438084,3.357869,17.6250104904175,12.7939767837524
363,non-code-switch,CMU,6712,CMU_520,几乎 没 怎么 用 过 。,Hardly used.,3,没,怎么,7.1807833,没 怎么,advmod 怎么 用,advmod,<s>,Hardly,6.2367435,<s> Hardly,advmod Hardly used,advmod,51.13663700495240,0.00000000000000,-35.44521576330010,35.44521576330010,14.17269924,0.00005415,-9.82376652,9.82376652,2,6,1,AD,RB,6,-3.5169232,-3.5544984,13.5972376804899,20.7180135,-20.7180135,0.0000006,-6.2367435,6.2367435,7.5913870,-7.5913870,0.0051852,-2.2852352,2.2852352,7.1807833,3.5169232,3.5544984,49.8658771514893,0.0
365,non-code-switch,CMU,2524,CMU_522,如果 需要 家具 ， 可以 酌情 免费 赠送 。,Furniture can be provided free of charge if necessary.,6,可以,酌情,7.1807833,可以 酌情,root  酌情,root,you,can,1.5554866,you can,aux can give,aux,57.11439443323820,0.00000000000000,-39.58868147078770,39.58868147078770,9.19392683,0.00170747,-6.37274446,6.37274446,2,3,0,VV,MD,9,-1.2200798,-6.3365884,5.16721463776082,5.1672146,-5.1672146,0.0278300,-1.5554866,1.5554866,15.1945732,-15.1945732,0.0000267,-4.5740223,4.5740223,7.1807833,1.2200798,6.3365884,20.7109777927399,9.4182596206665
367,non-code-switch,CMU,4036,CMU_523,目前 定价 每 月 $550 ， 价格 可 面议 。,The current price is $550 per month and the price is negotiable.,4,每,月,5.093579,每 月,dobj 定价 月,dobj,per,month,1.4949491,per month,nmod $ month,nmod,47.43860709544220,0.00000000000001,-32.88193675789680,32.88193675789680,13.77812435,0.00007118,-9.55026805,9.55026805,1,5,2,NN,NN,10,-2.82257,-5.220824,25.1927206897522,4.9661134,-4.9661134,0.0319927,-1.4949491,1.4949491,15.199093,-15.199093,0.000027,-4.575383,4.575383,5.093579,2.82257,5.220824,24.827507019043,2.29239392280579
369,non-code-switch,CMU,1686,CMU_526,房屋 状况 好 ： 上下 两 层 外加 地下室 ， 还 有 一 个 较 大 的 独立 后院 。,The house is in good condition: two floors plus basement and a large separate backyard.,8,层,外加,7.1670523,层 外加,conj 好 外加,conj,floors,plus,5.2653375,floors plus,cc plus basement,cc,59.26621603111960,0.00000000000000,-41.08021054442720,41.08021054442720,14.7467536,0.0000364,-10.2216707,10.2216707,2,4,5,VV,CC,20,-3.1187816,-4.2744017,7.93852783583565,17.4910726,-17.4910726,0.0000054,-5.2653375,5.2653375,18.683567,-18.683567,0.000002,-5.624314,5.624314,7.1670523,3.1187816,4.2744017,31.7970180511475,9.59647750854492
371,non-code-switch,CMU,4037,CMU_528,一月 底 可 入住 。,Available in late January.,3,底,可,6.3825297,底 可,aux:modal 可 入住,aux:modal,<s>,Available,5.4049664,<s> Available,root available,root,49.31644872148080,0.00000000000000,-34.18355738652350,34.18355738652350,12.78268378,0.00014192,-8.86028122,8.86028122,1,9,1,VV,JJ,5,-3.1592522,-4.706599,5.45007615065486,17.9549097,-17.9549097,0.0000039,-5.4049664,5.4049664,10.2508712,-10.2508712,0.0008207,-3.0858197,3.0858197,6.3825297,3.1592522,4.706599,7.38952398300171,0.0
373,non-code-switch,CMU,6284,CMU_529,我的 颜色 是 整体 黑色 ， 抽屉 白色 。,My color is black on the whole and white on the drawer.,4,是,整体,7.39772,是 整体,amod 是 整体,amod,on,the whole,0.16389118,on the whole,obl black whole,obl,51.961926532921600,0.000000000000000,-36.017262872757600,36.017262872757600,4.39029524,0.04768584,-3.04312077,3.04312077,2,9,1,JJ,DT,9,-4.0284534,-4.0825667,8.52611712111552,0.54443472,-0.54443472,0.68566001,-0.16389118,0.16389118,15.7726990,-15.7726990,0.0000179,-4.7480555,4.7480555,7.39772,4.0284534,4.0825667,23.9543294906616,1.46465373039246
375,non-code-switch,CMU,7454,CMU_531,可当 面 交易 ， 原价 转让 。,"Can be a face to face trade, at the original price.",3,面,交易,7.5819244,面 交易,nmod:topic 面 原价,nmod:topic,face,trade,8.113655,face trade,nmod face trade,nmod,51.59680713252100,0.00000000000000,-35.76418138980220,35.76418138980220,13.24553054,0.00010297,-9.18110215,9.18110215,2,5,3,NN,NN,7,-3.57784,-3.818048,10.6320517759053,26.952978,-26.952978,0.000000,-8.113655,8.113655,15.4615436,-15.4615436,0.0000222,-4.6543884,4.6543884,7.5819244,3.57784,3.818048,18.2292094230652,9.63855743408203
377,non-code-switch,CMU,5303,CMU_532,全 套 家具 和 电器 全部 赠送 。,All furniture and appliances are complimentary.,1,<s>,全,5.554334,<s> 全,det 全 电器,det,<s>,all,4.6611304,<s> all,det All furniture,det,49.789957278402800,0.000000000000001,-34.511768507725000,34.511768507725000,8.94391847,0.00203054,-6.19945187,6.19945187,1,3,4,DT,DT,8,-2.239367,-1.8012383,15.4839400296936,15.4839400,-15.4839400,0.0000218,-4.6611304,4.6611304,13.9795262,-13.9795262,0.0000619,-4.2082567,4.2082567,5.554334,2.239367,1.8012383,8.47892093658447,0.0
379,non-code-switch,CMU,4797,CMU_537,客厅 ： 桌子 + 椅子 厨房 ： 冰箱 ， 微波炉 ， 各 式 厨具 及 调料 。,"Living room: table + chair Kitchen: refrigerator, microwave oven, all kinds of kitchen utensils and spices.",12,，,各,7.239988,， 各,det 各 厨具,det,", ",all,3.1844795,",  all",det all kinds,det,48.42872014647630,0.00000000000000,-33.56823082765670,33.56823082765670,8.94391847,0.00203054,-6.19945187,6.19945187,1,3,2,DT,DT,17,-2.239367,-1.6336279,12.9423109195698,10.5786119,-10.5786119,0.0006539,-3.1844795,3.1844795,12.111710,-12.111710,0.000226,-3.645988,3.645988,7.239988,2.239367,1.6336279,22.2073593139648,10.7648372650146
381,non-code-switch,CMU,1402,CMU_538,请 说明 价格 和 房型 ， 否则 忽略 。,"Please state the price and room type, otherwise ignore.",2,请,说明,6.6841683,请 说明,root  说明,root,please,state,3.8764393,please state,root state,root,50.737354341063800,0.000000000000001,-35.168454110579300,35.168454110579300,11.42574029,0.00036350,-7.91971967,7.91971967,2,5,0,VV,NN,9,-3.6253793,-3.899302,8.56520126611592,12.8772526,-12.8772526,0.0001329,-3.8764393,3.8764393,18.334150,-18.334150,0.000003,-5.519129,5.519129,6.6841683,3.6253793,3.899302,21.3456735610962,11.6807317733765
